Budget groupe name;Esi;Name;Price
"Maroc Tanger Passage Goix, 19ème";214569;3 rue de Kabylie;25000
"Maroc Tanger Passage Goix, 19ème";214577;1 rue du Département ;25000
"Maroc Tanger Passage Goix, 19ème";214590;19 rue du département;25000
"Maroc Tanger Passage Goix, 19ème";215521;8 rue du département ;25000
"Maroc Tanger Passage Goix, 19ème";14127;27 rue de Tanger;25000
"Maroc Tanger Passage Goix, 19ème";14126;20 rue du Maroc;25000
"Maroc Tanger Passage Goix, 19ème";214601;234 db de la Villette ;25000
"Maroc Tanger Passage Goix, 19ème";14100;32 rue du Maroc ;25000
"Ménilmontant, 20ème";1092;5-7 rue Dc Labbé; 10 av. de la porte de Ménilmontant ;25000
"Ménilmontant, 20ème";2001;1 à 7 rue Vidal de la Blache; 2-4 rue du dc Labbé ; 76 à 84 bd Mortier;25000
"Ménilmontant, 20ème";3003;1-3 rue du Dc Labbé; 4 av de la porte de Ménilmontant ; 88 à 94 bd Mortier ;25000
"Phillipe de Girard, 18ème";11003;54 rue Philippe de Girard;25000
"Phillipe de Girard, 18ème";14108;55 rue Philippe de Girard;25000
"Phillipe de Girard, 18ème";14120;56 rue Philippe de Girard;25000
"Saint Charles, 15ème";74108;"207 rue St Charles ; 20-24 rue Modigliani; 6 rue Jongking";25000
"Saint Charles, 15ème";214504;"7 rue Modigliani; 126 rue Félix faure; 213-217 rue St Charles";25000
"Saint Charles, 15ème";214519;"188-194 rue St Charles; 67-75 rue Balard";25000
